"","COUNTRY","YEAR","FUELTYPE","FABREQ_LOW","FABREQ_HIGH"
"200","Sweden","2030","BWR","108","108"
"201","Sweden","2030","PWR","60","60"
"202","Sweden","2035","BWR","108","108"
"203","Sweden","2035","PWR","60","60"
"204","Switzerland","2016","BWR","30","30"
"205","Switzerland","2016","PWR","16","16"
"206","Switzerland","2017","BWR","9","9"
"207","Switzerland","2017","PWR","29","29"
"208","Switzerland","2018","BWR","33","33"
"209","Switzerland","2018","PWR","29","29"
"210","Switzerland","2020","BWR","22","22"
"211","Switzerland","2020","PWR","29","29"
"212","Switzerland","2025","BWR","22","22"
"213","Switzerland","2025","PWR","29","29"
"214","Switzerland","2030","BWR","22","22"
"215","Switzerland","2030","PWR","29","29"
"216","Switzerland","2035","BWR","22","22"
"217","Switzerland","2035","PWR","17","17"
"218","United Kingdom","2016","BWR","0","0"
"219","United Kingdom","2016","GCR","196","196"
"220","United Kingdom","2016","PWR","39","39"
"221","United Kingdom","2017","BWR","0","0"
"222","United Kingdom","2017","GCR","190","190"
"223","United Kingdom","2017","PWR","41","41"
"224","United Kingdom","2018","BWR","0","0"
"225","United Kingdom","2018","GCR","188","188"
"226","United Kingdom","2018","PWR","0","0"
"227","United Kingdom","2020","BWR","0","0"
"228","United Kingdom","2020","GCR","190","190"
"229","United Kingdom","2020","PWR","0","0"
"230","United Kingdom","2025","BWR","80","80"
"231","United Kingdom","2025","GCR","90","90"
"232","United Kingdom","2025","PWR","168","168"
"233","United Kingdom","2030","BWR","40","40"
"234","United Kingdom","2030","GCR","0","0"
"235","United Kingdom","2030","PWR","155","155"
"236","United Kingdom","2035","BWR","40","40"
"237","United Kingdom","2035","GCR","0","0"
"238","United Kingdom","2035","PWR","163","163"
"239","United States","2016","LWR","2420","2420"
"240","United States","2017","LWR","1991","1991"
"241","United States","2018","LWR","2217","2217"
"242","United States","2020","LWR","1979","1979"
"243","United States","2025","LWR","2125","2125"
"244","United States","2030","LWR","2022","2022"
"245","United States","2035","LWR","1933","1933"
